http://www.qsl.net/xe2nat/prefijos.htm
AMATEUR RADIO PREFIXES

1A	Sovereign Military Order of Malta
1B	Cyprus			
1S 	Spratly Is
---------------------------------------------
2E      England (Novices)
2D      Isle Of Man (Novices)
2I      Northern Ireland (Novices)
2J      Jersey (Novices)
2M      Scotland (Novices)
2U      Guernsey & Dependencies (Novices)
2W      Wales (Novices)
--------------------------------
3A 	Monaco
3B6 	Agalega
3B7 	Agalega
3B8 	Mauritius
3B9 	Rodriguez Is
3C 	Equatorial Guinea
3C0 	Annobon
3D2 	Conway Reef
3D2 	Fiji
3D2 	Rotuma
3D2/C 	Conway Reef
3D2/F 	Fiji
3D2/R 	Rotuma
3D2AG 	Fiji
3D2TS 	Fiji
3D6 	Swaziland
3DA0 	Swaziland
3E 	Panama
3F 	Panama
3G 	Chile
3V 	Tunisia
3W 	Vietnam
3X 	Guinea
3Y 	Bouvet Is
3Y 	Peter Is
3Y/B 	Bouvet
3Y/P 	Peter Is
3Z 	Poland
4A 	Mexico
4B 	Mexico
4C 	Mexico
4D 	Philippines
4F 	Philippines
4I 	Philippines
4J 	Azerbaijan
4J1	Malyj Vysotskij
4K 	Azerbaijan
4L 	Georgia
4M 	Venezuela
4N1 	Yugoslavia (Regular)
4N4 	Bosnia Herzegovina
4N5 	Macedonia
4N6 	Yugoslavia (Regular)
4N7 	Yugoslavia (Regular)
4N8 	Yugoslavia (Regular)
4N9     Yugoslavia (Reserved)
4N0     Yugoslavia (Reserved)
4O1 	Yugoslavia (Special)
4O3     Montenegro
4O4 	Bosnia Herzegovina
4O5 	Macedonia
4O6 	Yugoslavia (Special)
4O7 	Yugoslavia (Special)
4O8 	Yugoslavia (Special)
409     Yugoslavia (Reserved)
400     Yugoslavia (Reserved)
4P 	Sri Lanka
4Q 	Sri Lanka
4R 	Sri Lanka
4S 	Sri Lanka
4T 	Peru
4U 	United Nations
4U1VIC  Vienna International Congress Center.
4U1ITU  ITU Geneva
4U1WB   World Bank
4U1UN   UN NYC
4U1SCI  UNESCO
4V 	Haiti
4W 	Yemen
4X	Israel
4Z 	Israel
5A 	Libya
5B 	Cyprus
5C 	Morocco
5D 	Morocco
5H 	Tanzania
5I 	Tanzania
5J 	Columbia
5K 	Columbia
5L 	Liberia
5N 	Nigeria
5O 	Nigeria
5P 	Denmark
5Q 	Denmark
5R 	Malagasy Rep
5S 	Malagasy Rep
5T 	Mauritania
5U 	Niger
5V 	Togo
5W 	Western Samoa
5X 	Uganda
5Y 	Kenya
5Z 	Kenya
6D 	Mexico
6E 	Mexico
6G 	Mexico
6I 	Mexico
6K 	South Korea
6O 	Somalia
6T 	Sudan
6V 	Senegal
6W 	Senegal
6Y 	Jamaica
7J 	Japan
7K 	Japan
7L 	Japan
7M	Japan
7N 	Japan
7O 	Yemen Peo Rep
7P 	Lesotho
7Q 	Malawi
7S 	Sweden
7T 	Algeria
7U	 Algeria
7V 	Algeria
7W 	Algeria
7X 	Algeria
7Y 	Algeria
7Z 	Saudi Arabia
8A 	Indonesia
8B 	Indonesia
8C 	Indonesia
8D 	Indonesia
8E 	Indonesia
8F 	Indonesia
8G 	Indonesia
8H 	Indonesia
8I 	Indonesia
8J 	Japan
8O 	Botswana
8P 	Barbados
8Q 	Maldive Is
8R 	Guyana
8S 	Sweden
8T 	India
8T4 	Andaman Is
8T7 	Laccadive Is
8U 	India
8U4 	Andaman Is
8U7 	Laccadive Is
8V 	India
8V4 	Andaman Is
8V7 	Laccadive Is
8W	India
8W4 	Andaman Is
8W7 	Laccadive Is
8Z 	Saudi Arabia
9A 	Croatia
9D 	Iran
9E 	Ethiopia
9F 	Ethiopia
9G 	Ghana
9H 	Malta
9I 	Zambia
9J 	Zambia
9K 	Kuwait
9L 	Sierra Leone
9M0 	Spratly Is
9M2 	West Malaysia
9M4 	West Malaysia
9M6 	East Malaysia
9M8 	East Malaysia
9N 	Nepal
9Q 	Zaire
9R 	Zaire
9S  	Zaire
9T 	Zaire
9U 	Burundi
9V 	Singapore
9X 	Rwanda
9Y 	Trinidad
9Z 	Trinidad
A15 	Abu Ail
A2 	Botswana
A3 	Tonga
A4 	Oman
A5 	Bhutan
A51 	Bhutan
A6 	United Arab Emirates
A7 	Qatar
A8 	Liberia
A9 	Bahrain
AA      United States
AB      United States
AC      United States
AD      United States
AE      United States
AF      United States
AG      United States
AH      United States
AI      United States
AJ      United States
AK      United States
AC6ZM   United States
AC6VW   United States
AH0 	Mariana Is
AH0U    United States
AH1 	Baker Howland
AH2 	Guam
AH2O 	United States
AH3 	Johnston Is
AH4 	Midway Is
AH5 	Palmyra Is
AH5K 	Kingman Reef
AH6 	Hawaii
AH6HR   United States
AH6FF   United States
AH6FX   United States
AH7K 	Kure Is
AH8 	American Samoa
AH9 	Wake Is
AL 	Alaska
AL7MH   United States
AL0A    United States
AM 	Spain
AM6 	Balearic Is
AM8 	Canary Is
AM9 	Ceuta-Melilla
AN 	Spain
AN6 	Balearic Is
AN8 	Canary Is
AN9 	Ceuta-Melilla
AO 	Spain
AO6 	Balearic Is
AO8 	Canary Is
AO9 	Ceuta-Melilla
AP 	Pakistan
AQ 	Pakistan
AR 	Pakistan
AS 	Pakistan
AT 	India
AT4 	Andaman Is
AT7 	Laccadive Is
AU 	India
AU4 	Andaman Is
AU7 	Laccadive Is
AV 	India
AV4 	Andaman Is
AV7 	Laccadive Is
AW 	India
AW4 	Andaman Is
AW7 	Laccadive Is
AX 	Australia
AY 	Argentina
AZ 	Argentina
BA      China
BB      China
BC      China
BD      China
BE      China
BF      China
BG      China
BH      China
BI      China
BJ      China
BK      China
BL      China
BM      China
BN      China
BO      China
BP      China
BQ      China
BR      China
BS      China
BT      China
BU      China
BV 	Taiwan (See Below For New Prefixes and Calls)
        BO1xx - Matzu Island
        BO2xx - Kinmem Island
        BO2YA - CTARL Kinmen Island clubstation
        BV0xx - special event stations
        BV1-8xx - Taiwan areas
        BV9 - islands near Taiwan
        BV9A - Penhu Island
        BV9O - Orchid Island
        BV9G - Green Island
        BV9P - Pratas Island (DXCC)
        BM(1-8)abc - class 4 calls (VHF/UHF only)
        BN(1-8)abc - class 4 calls (VHF/UHF only)
        BV(1-8)Yx - CTARL Branch clubstations
        BV9AYA - CTARL Penhu Island clubstation
        BV4YL - CTARL YL/XYL clubstation, mid Taiwan area.
        BV2Y - CTARL Taipei office station
        BV5Y - CTARL HQ Station
        BV Bureau, PO Box 73, Taipei 100, Taiwan.
BW 	China
BX 	China
BY 	China
BZ 	China
C2 	Nauru
C3 	Andorra
C4 	Cyprus
C5 	Gambia
C6 	Bahamas
C8 	Mozambique
C9 	Mozambique
CA 	Chile
CB 	Chile
CC 	Chile
CD 	Chile
CE1     Chile
CE2     Chile
CE3     Chile
CE4     Chile
CE5     Chile
CE6     Chile
CE7     Chile
CE8     Chile
CE9 	Antarctica
CE0A  	Easter Island
CE0E 	Easter Island
CE0F 	Easter Island
CE0I  	Juan Fernandez
CE0X  	San Felix
CE0Y 	Easter Island
CE0Z 	Juan Fernandez
CF 	Canada
CG 	Canada
CH 	Canada
CI 	Canada
CJ 	Canada
CK 	Canada
CL 	Cuba
CM 	Cuba
CN 	Morocco
CO 	Cuba
CP 	Bolivia
CQ 	Portugal
CQ3	Madeira Is
CQ9 	Madeira Is
CR 	Portugal
CR3 	Madeira Is
CR9 	Madeira Is
CS 	Portugal
CT 	Portugal
CT2	Azores
CT3 	Madeira Is
CT9 	Madeira Is
CU 	Azores
CV 	Uruguay
CW 	Uruguay
CX 	Uruguay
CY 	Canada
CY0 	Sable Is
CY9 	St Paul Is
CZ 	Canada
D2 	Angola
D3 	Angola
D4 	Cape Verde
D6 	Comoros
D7 	South Korea
D8 	South Korea
D9 	South Korea
------------------------------------------
DA      Germany
DB      Germany
DC      Germany
DD      Germany
DE      Germany
DF      Germany
DG      Germany
DH      Germany
DI      Germany
DJ      Germany
DK      Germany
DL      Germany
DM      Germany
DN      Germany
DO      Germany
DP      Germany Expedition
DQ      Germany
DR      Germany
------------------------------------------------------
DS 	South Korea
DT 	South Korea
DT8A    South Shetland Islands
DU 	Philippines
DV 	Philippines
DX 	Philippines
DY 	Philippines
DZ 	Philippines
E2 	Thailand
E3 	Eritrea
E4      Palestine
E5      Cook Islands
E7 	Bosnia Herzegovina
EA 	Spain
EA6 	Balearic Is
EA8 	Canary Is
EA9 	Ceuta
EB 	Spain
EB6 	Balearic Is
EB8 	Canary Is
EB9 	Ceuta
EC 	Spain
EC6 	Balearic Is
EC8 	Canary Is
EC9 	Ceuta
EC9 	Melilla
ED 	Spain
ED6 	Balearic Is
ED8 	Canary Is
ED9 	Ceuta
ED9 	Melilla
